smi,seed_smi,ori_smi,component,diameter,hash_distance,comp2
*CNC(C)c1cccc(F)c1,*CC(NC(*)*)c1cccc(F)c1,O=C(N[C@H](CO)c1cccc(F)c1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,Hydrophilic;Hydrophilic;R6_aro1_0;,3.969,9de6ed144f9ba9230d86416991ae4e07,R6;
*CC(NC)c1cccc(F)c1,*CC(NC(*)*)c1cccc(F)c1,O=C(N[C@H](CO)c1cccc(F)c1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,Hydrophilic;Hydrophilic;R6_aro1_0;,3.969,9de6ed144f9ba9230d86416991ae4e07,R6;
*CSC1=NNC(C2=CC=CC=C2O)=N1,*CSc1n[nH]c(-c2ccccc2O)n1,O=C(CSc1n[nH]c(-c2ccccc2O)n1)Nc1ccccc1,Hydrophilic;R5_aro1_3;R6_aro1_0;,4.276,5e220b6c2c104be061067da1da8b788c,R5;R6;
*COC(=O)C1=CC=C2C=CC=CC2=N1,*COC(=O)c1ccc2ccccc2n1,O=C(COC(=O)c1ccc2ccccc2n1)NC1CC1,Hydrophilic;Hydrophilic;R6_aro1_0;R6_aro1_1;,3.969,d1dbbce74da59e91ebac3b63f5723f02,R6;R6;
*CCc1ccc(F)cc1,*C(*)Cc1ccc(F)cc1,O=C(Cc1ccc(F)cc1)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O,Hydrophilic;R6_aro1_0;,3.0,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*c1[nH]c2ccccc2c1OC,*COc1c(*)[nH]c2ccccc12,O=C([O-])CNC(=O)CCCCCNC(=O)COc1c(-c2cc3ccccc3[nH]2)[nH]c2ccccc12,Hydrophilic;R5_aro1_1;R6_aro1_0;,2.776,33f532b1673589c155f4c0497d54ee2b,R5;R6;
*COc1c(C)[nH]c2ccccc12,*COc1c(*)[nH]c2ccccc12,O=C([O-])CNC(=O)CCCCCNC(=O)COc1c(-c2cc3ccccc3[nH]2)[nH]c2ccccc12,Hydrophilic;R5_aro1_1;R6_aro1_0;,2.776,33f532b1673589c155f4c0497d54ee2b,R5;R6;
*CNC1CCc2n[nH]cc2C1,*C(*)NC1CCc2n[nH]cc2C1,O=C(Nc1ccc(Cl)c(F)c1)C(=O)N[C@H]1CCc2n[nH]cc2C1,Hydrophilic;R5_aro1_2;R6_aro0_0;,5.153,2b950dea1849f588186cc53f2efca29b,R5;R6;
*CCC1(C)CNC(=O)NC1,*C(*)CC1(C)CNC(=O)NC1,CC(C)CC1(C)CNC(=O)NC1,Hydrophilic;R6_aro0_2;,3.0,aae78cb0eadc943b0811020482a401f8,R6;
*CNCc1ccccc1O,*C(*)NCc1ccccc1O,O=C(NCc1ccccc1O)c1cc2cc(O)ccc2[nH]1,Hydrophilic;R6_aro1_0;,3.969,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
